steamID/appID,steamid,appid,playtime_forever,achievements
76561198048730871/17470,79,17470,23,
76561198048730871/24740,79,24740,0,
76561198048730871/24800,79,24800,31,
76561198048730871/23490,79,23490,0,
76561198048730871/17410,79,17410,691,
76561198048730871/42910,79,42910,1981,
76561198048730871/72850,79,72850,12146,
76561198048730871/108800,79,108800,0,
76561198048730871/211420,79,211420,101,
76561198048730871/57690,79,57690,0,
76561198048730871/47790,79,47790,0,
76561198048730871/47830,79,47830,0,
76561198048730871/58520,79,58520,26,
76561198048730871/204560,79,204560,0,
76561198048730871/208730,79,208730,0,
76561198048730871/209730,79,209730,0,
76561198048730871/219780,79,219780,0,
76561198048730871/231140,79,231140,0,
76561198048730871/58610,79,58610,0,
76561198048730871/205650,79,205650,0,
76561198048730871/550,79,550,0,
76561198048730871/223530,79,223530,0,
76561198048730871/224600,79,224600,5494,
76561198048730871/245620,79,245620,2226,
76561198180821795/262060,10,262060,248,
76561198180821795/244160,10,244160,54,
76561198180821795/437900,10,437900,5,
76561198180821795/310380,10,310380,0,
76561198008911412/4580,2,4580,0,
76561198008911412/9450,2,9450,0,
76561198008911412/13200,2,13200,964,
76561198008911412/13210,2,13210,1628,
76561198008911412/13230,2,13230,146,
76561198008911412/13240,2,13240,47,
76561198008911412/13250,2,13250,2,
76561198008911412/13520,2,13520,983,
76561198008911412/19900,2,19900,1025,
76561198008911412/10500,2,10500,9788,
76561198008911412/9480,2,9480,50,
76561198008911412/15620,2,15620,1142,
76561198008911412/21680,2,21680,0,
76561198008911412/21670,2,21670,0,
76561198008911412/4560,2,4560,0,
76561198008911412/9340,2,9340,0,
76561198008911412/20540,2,20540,0,
76561198008911412/228200,2,228200,0,
76561198008911412/10180,2,10180,3821,
76561198008911412/10190,2,10190,60772,
76561198008911412/550,2,550,17211,
76561198008911412/223530,2,223530,0,
76561198008911412/17450,2,17450,0,
76561198008911412/34030,2,34030,6809,
76561198008911412/8190,2,8190,69,
76561198008911412/24980,2,24980,0,
76561198008911412/40100,2,40100,0,
76561198008911412/43110,2,43110,1301,
76561198008911412/20570,2,20570,372,
76561198008911412/42120,2,42120,7352,
76561198008911412/33910,2,33910,78,
76561198008911412/33930,2,33930,10,
76561198008911412/219540,2,219540,1,
76561198008911412/8930,2,8930,0,
76561198008911412/42960,2,42960,35,
76561198008911412/35130,2,35130,0,
76561198008911412/70900,2,70900,0,
76561198008911412/50620,2,50620,1340,
